zona,area_quartos,enderecos_lista,aluguel
norte,18 m² construídos1 quarto,"Rua Amaná, Vila Sabrina, São Paulo Zona Norte, São Paulo",770
norte,42 m² construídos1 quarto,"Av Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.600
norte,80 m² construídos2 quartos,"Av Braz Leme, Santana, São Paulo Zona Norte, São Paulo",2.000
norte,68 m² construídos3 quartos,"Avenida José Maria Fernandes, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.365
norte,28 m² construídos1 quarto,"Rua Alberto Costa, Parque Mandaqui, São Paulo Zona Norte, São Paulo",770
norte,50 m² construídos2 quartos,"Rua Cabo José Da Silva, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.200
norte,48 m² construídos2 quartos,"Rua Aída Gomes Tolêdo, Imirim, São Paulo Zona Norte, São Paulo",1.100
norte,65 m² construídos2 quartos,"Rua Doutor Heitor Nascimento, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1.600
norte,54 m² construídos2 quartos,"Rua Dona Estela Borges Morato, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",2.000
norte,76 m² construídos2 quartos,"Rua Pedro Cacunda, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.300
norte,68 m² construídos2 quartos,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",1.200
norte,69 m² construídos2 quartos,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",1.200
norte,74 m² construídos2 quartos,"Avenida João Pessoa, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.339
norte,80 m² construídos2 quartos,"Rua Iwajiro Takahashi, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.442
norte,84 m² construídos3 quartos,"Rua Relíquia, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",1.200
norte,120 m² construídos2 quartos,"Rua Eulália Bastos, Tucuruvi, São Paulo Zona Norte, São Paulo",1.592
norte,49 m² construídos2 quartos,"Rua Doutor Heitor Nascimento, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1.530
norte,105 m² construídos3 quartos,"Avenida Braz Leme, Santana, São Paulo Zona Norte, São Paulo",2.500
norte,110 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",3.200
norte,55 m² construídos2 quartos,"Rua Jornalista Octávio Ribeiro - Pena Branca, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",1.500
norte,70 m² construídos2 quartos,"Avenida Mofarrej, Jardim Peri, São Paulo Zona Norte, São Paulo",3.900
norte,38 m² construídos1 quarto,"Rua Joaquim Afonso De Souza, Vila Celeste, São Paulo Zona Norte, São Paulo",820
norte,40 m² construídos1 quarto,"Rua Mario Araújo, Santana, São Paulo Zona Norte, São Paulo",1.300
norte,157 m² construídos3 quartos,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",3.000
norte,90 m² construídos4 quartos,"Rua Euríco Sodré, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.725
norte,43 m² construídos1 quarto,"Rua Antônio Said, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.000
norte,49 m² construídos2 quartos,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.050
norte,45 m² construídos1 quarto,"Rua Paulo Do Vale Júnior, Vila Bancária Munhoz, São Paulo Zona Norte, São Paulo",880
norte,75 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.600
norte,80 m² construídos1 quarto,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",1.700
norte,95 m² construídos3 quartos,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",1.750
norte,37 m² construídos1 quarto,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.850
norte,72 m² construídos3 quartos,"Rua Tapiraí, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",2.700
norte,64 m² construídos2 quartos,"Avenida José Maria Fernandes, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.250
norte,57 m² construídos2 quartos,"Rua José Ferreira De Castro, Vila Amélia, São Paulo Zona Norte, São Paulo",1.100
norte,62 m² construídos2 quartos,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",2.100
norte,52 m² construídos2 quartos,"Rua Doutor Luís Barreto Filho, Vila Pereira Barreto, São Paulo Zona Norte, São Paulo",1.800
norte,55 m² construídos2 quartos,"R. Maj. Ari Gomes - Vila Mazzei, São Paulo - Sp, 02309-050, Brasil, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.600
norte,72 m² construídos3 quartos,"Avenida Deputado Emílio Carlos, Limão, São Paulo Zona Norte, São Paulo",1.700
norte,70 m² construídos2 quartos,"Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1.600
norte,200 m² construídos3 quartos,"Avenida Monte Celeste, Vila Santa Maria, São Paulo Zona Norte, São Paulo",4.000
norte,130 m² construídos3 quartos,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",2.000
norte,48 m² construídos2 quartos,"Rua Dona Estela Borges Morato, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.400
norte,140 m² construídos1 quarto,"Rua Luís Vasconcelos, Sítio Do Morro, São Paulo Zona Norte, São Paulo",1.400
norte,40 m² construídos1 quarto,"Rua Madrigais, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.012
norte,68 m² construídos2 quartos,"Rua Pestana, Vila Guaca, São Paulo Zona Norte, São Paulo",1.500
norte,70 m² construídos1 quarto,"Otavio De Moura, Jardim Peri, São Paulo Zona Norte, São Paulo",840
norte,50 m² construídos2 quartos,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.200
norte,60 m² construídos1 quarto,"Rua Manoel Ferreira Barbosa, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.100
norte,52 m² construídos2 quartos,"Rua Santo Ubaldo, Vila Palmeiras, São Paulo Zona Norte, São Paulo",2.200
norte,160 m² construídos3 quartos,"Rua Sargento Agostinho Ferreira, Vila Maria Alta, São Paulo Zona Norte, São Paulo",3.000
norte,59 m² construídos2 quartos,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1.600
norte,64 m² construídos2 quartos,"Avenida Elísio Teixeira Leite, Vila Brasilândia, São Paulo Zona Norte, São Paulo",1.575
norte,130 m² construídos3 quartos,"Rua Alto De Montalegre, Lauzane Paulista, São Paulo Zona Norte, São Paulo",2.500
norte,48 m² construídos2 quartos,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",1.720
norte,55 m² construídos2 quartos,"Rua Rubens De Souza Araújo, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.236
norte,59 m² construídos2 quartos,"Rua Benjamin Pereira, Jaçanã, São Paulo Zona Norte, São Paulo",1.450
norte,47 m² construídos2 quartos,"Avenida Professora Virgília Rodrigues Alves De Carvalho Pinto, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",2.000
norte,75 m² construídos2 quartos,"Rua José Pardelli, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.300
norte,80 m² construídos1 quarto,"Rua Dona Joaquina De Jesus, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",1.050
norte,35 m² construídos1 quarto,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900
norte,71 m² construídos3 quartos,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1.300
norte,70 m² construídos2 quartos,"Rua Ribeiro De Morais, Vila Albertina, São Paulo Zona Norte, São Paulo",1.200
norte,53 m² construídos2 quartos,"Rua Itza, Jardim Modelo, São Paulo Zona Norte, São Paulo",1.552
norte,66 m² construídos2 quartos,"Rua Nova Dos Portugueses, Chora Menino, São Paulo Zona Norte, São Paulo",2.100
norte,177 m² construídos3 quartos,"Rua Paraíba, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",5.000
norte,50 m² construídos2 quartos,"Avenida Elísio Teixeira Leite, Vila Brasilândia, São Paulo Zona Norte, São Paulo",1.155
norte,48 m² construídos2 quartos,"Rua Claudino Pinto, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.260
norte,70 m² construídos2 quartos,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1.640
norte,35 m² construídos1 quarto,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900
norte,49 m² construídos2 quartos,"Rua Conselheiro Moreira De Barros, Santana, São Paulo Zona Norte, São Paulo",2.000
norte,55 m² construídos2 quartos,"Rua Borges, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.000
norte,50 m² construídos2 quartos,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.400
norte,32 m² construídos1 quarto,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.990
norte,48 m² construídos1 quarto,"Rua Alvorada Do Norte, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.200
norte,35 m² construídos1 quarto,"Rua Sebastião Alves De Sousa, Vila Miriam, São Paulo Zona Norte, São Paulo",1.300
norte,50 m² construídos2 quartos,"Rua Manoel Lopes Da Cunha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.339
norte,70 m² construídos2 quartos,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1.640
norte,80 m² construídos3 quartos,"Rua Doutor Orlando Zamitti Mammana, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.530
norte,35 m² construídos1 quarto,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900
norte,98 m² construídos4 quartos,"Avenida Professora Ida Kolb, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2.300
norte,49 m² construídos2 quartos,"Avenida Jaçanã, Jaçanã, São Paulo Zona Norte, São Paulo",3.000
norte,72 m² construídos2 quartos,"Rua Herbert Hoover, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.500
norte,50 m² construídos1 quarto,"Rua Madrigais, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",2.500
norte,55 m² construídos2 quartos,"Rua Manuel Cherem, Vila Paulista, São Paulo Zona Norte, São Paulo",2.163
norte,35 m² construídos1 quarto,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900
norte,59 m² construídos2 quartos,"Avenida Santa Inês, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.600
norte,48 m² construídos2 quartos,"Rua Canner, Vila Pereira Cerca, São Paulo Zona Norte, São Paulo",1.133
norte,90 m² construídos4 quartos,"Avenida Professora Ida Kolb, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2.900
norte,54 m² construídos2 quartos,"Rua Manuel Pitta, Vila Pita, São Paulo Zona Norte, São Paulo",1.200
norte,45 m² construídos2 quartos,"Rua Hipódromo, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.500
norte,35 m² construídos1 quarto,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900
norte,60 m² construídos2 quartos,"Rua Aída Gomes Toledo, Imirim, São Paulo Zona Norte, São Paulo",1.339
norte,57 m² construídos2 quartos,"Rua Jorge Valim, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",1.900
norte,74 m² construídos2 quartos,"Avenida João Pessoa, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.428
norte,56 m² construídos2 quartos,"Avenida Júlio Buono, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.200
norte,60 m² construídos2 quartos,"Rua Coronel Gustavo Santiago, Vila Zilda, São Paulo Zona Norte, São Paulo",2.500
norte,55 m² construídos2 quartos,"Rua Ernesto De Castro, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.450
norte,55 m² construídos2 quartos,"Rua Conselheiro Moreira De Barros, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.122
norte,200 m² construídos3 quartos,"Rua Salvador Romeu, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",3.500
norte,121 m² construídos3 quartos,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",4.600
norte,150 m² construídos3 quartos,"Rua Theóphilo De Oliveira E Souza, Casa Verde Alta, São Paulo Zona Norte, São Paulo",2.000
norte,170 m² construídos2 quartos,"Rua Alexandre Ramos De Souza, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.938
norte,64 m² construídos2 quartos,"Rua Alfredo Inácio Trindade, Barro Branco, São Paulo Zona Norte, São Paulo",1.326
norte,85 m² construídos4 quartos,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",2.000
norte,50 m² construídos2 quartos,"Rua Martim Burchard, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.800
norte,100 m² construídos3 quartos,"Avenida Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",3.193
norte,136 m² construídos4 quartos,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",4.000
norte,50 m² construídos2 quartos,"Rua Judith Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",2.500
norte,35 m² construídos1 quarto,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900
norte,42 m² construídos2 quartos,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200
norte,60 m² construídos1 quarto,"Rua Tanque Velho, Vila Nivi, São Paulo Zona Norte, São Paulo",1.150
norte,64 m² construídos3 quartos,"Avenida Do Anastácio, Jardim Peri, São Paulo Zona Norte, São Paulo",2.800
norte,45 m² construídos2 quartos,"Avenida Aparecida Do Rio Negro, Jardim Peri, São Paulo Zona Norte, São Paulo",1.450
norte,70 m² construídos2 quartos,"Rua Tanque Velho, Vila Nivi, São Paulo Zona Norte, São Paulo",1.300
norte,41 m² construídos2 quartos,"Rua Coronel Euclídes Machado, Jardim Das Graças, São Paulo Zona Norte, São Paulo",1.581
norte,110 m² construídos2 quartos,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",3.090
norte,86 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.600
norte,50 m² construídos2 quartos,"Rua José Leite De Almeida, 128 - Santa Teresinha, São Paulo - Sp, Brasil, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.450
norte,370 m² construídos3 quartos,"Rua Antônio Píres, Vila Albertina, São Paulo Zona Norte, São Paulo",9.800
norte,65 m² construídos2 quartos,"Rua Benevenuto Jordão, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.600
norte,71 m² construídos3 quartos,"Avenida Ministro Petrônio Portela, Vila Amélia, São Paulo Zona Norte, São Paulo",2.200
norte,100 m² construídos3 quartos,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",2.142
norte,137 m² construídos3 quartos,"Rua Macaiá-mirim, Santana, São Paulo Zona Norte, São Paulo",2.700
norte,120 m² construídos2 quartos,"Rua Corneteiro Jesus, Água Fria, São Paulo Zona Norte, São Paulo",2.310
norte,37 m² construídos1 quarto,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",1.600
norte,58 m² construídos2 quartos,"Rua Das Imbiras, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1.632
norte,80 m² construídos1 quarto,"Avenida Zaki Narchi, Carandiru, São Paulo Zona Norte, São Paulo",1.650
norte,57 m² construídos2 quartos,"Rua Lourenço Collino, Jardim Peri, São Paulo Zona Norte, São Paulo",1.800
norte,32 m² construídos1 quarto,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.870
norte,490 m² construídos6 quartos,"Rua Manuel De Moura, Vila Gustavo, São Paulo Zona Norte, São Paulo",5.000
norte,96 m² construídos3 quartos,"Avenida Professora Ida Kolb, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2.100
norte,57 m² construídos2 quartos,"Rua Samaritá, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",1.530
norte,93 m² construídos1 quarto,"Avenida Das Cerejeiras, Vila Maria Alta, São Paulo Zona Norte, São Paulo",4.500
norte,60 m² construídos1 quarto,"Rua Manoel Ferreira Barbosa, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.100
norte,30 m² construídos1 quarto,"Rua Iwajiro Takahashi, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.224
norte,50 m² construídos2 quartos,"Rua Guajurus, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.632
norte,50 m² construídos2 quartos,"Rua Guajurus, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.632
norte,60 m² construídos2 quartos,"Rua Salvador Romeu, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",1.300
norte,50 m² construídos1 quarto,"Avenida Sanatório, Jardim Modelo, São Paulo Zona Norte, São Paulo",1.150
norte,37 m² construídos1 quarto,"Rua Cruz De Malta, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.700
norte,150 m² construídos1 quarto,"Rua Manuel De Andrade, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",1.700
norte,95 m² construídos1 quarto,"Rua Ricardo Franco, Vila Roque, São Paulo Zona Norte, São Paulo",1.365
norte,250 m² construídos4 quartos,"Rua Manoel Duarte, Jardim Primavera (zona Norte), São Paulo Zona Norte, São Paulo",4.170
norte,95 m² construídos2 quartos,"Rua Salvador Tolezano, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.730
norte,50 m² construídos2 quartos,"Rua Piracema, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.326
