zona,enderecos_lista,aluguel,area,quartos
norte,"Rua Amaná, Vila Sabrina, São Paulo Zona Norte, São Paulo",770,18.0,1.0
norte,"Av Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.600,42.0,1.0
norte,"Av Braz Leme, Santana, São Paulo Zona Norte, São Paulo",2.000,80.0,2.0
norte,"Avenida José Maria Fernandes, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.365,68.0,3.0
norte,"Rua Alberto Costa, Parque Mandaqui, São Paulo Zona Norte, São Paulo",770,28.0,1.0
norte,"Rua Cabo José Da Silva, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.200,50.0,2.0
norte,"Rua Aída Gomes Tolêdo, Imirim, São Paulo Zona Norte, São Paulo",1.100,48.0,2.0
norte,"Rua Doutor Heitor Nascimento, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1.600,65.0,2.0
norte,"Rua Dona Estela Borges Morato, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",2.000,54.0,2.0
norte,"Rua Pedro Cacunda, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.300,76.0,2.0
norte,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",1.200,68.0,2.0
norte,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",1.200,69.0,2.0
norte,"Avenida João Pessoa, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.339,74.0,2.0
norte,"Rua Iwajiro Takahashi, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.442,80.0,2.0
norte,"Rua Relíquia, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",1.200,84.0,3.0
norte,"Rua Eulália Bastos, Tucuruvi, São Paulo Zona Norte, São Paulo",1.592,120.0,2.0
norte,"Rua Doutor Heitor Nascimento, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",1.530,49.0,2.0
norte,"Avenida Braz Leme, Santana, São Paulo Zona Norte, São Paulo",2.500,105.0,3.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",3.200,110.0,3.0
norte,"Rua Jornalista Octávio Ribeiro - Pena Branca, Vila Bela Vista (capital Zona Norte), São Paulo Zona Norte, São Paulo",1.500,55.0,2.0
norte,"Avenida Mofarrej, Jardim Peri, São Paulo Zona Norte, São Paulo",3.900,70.0,2.0
norte,"Rua Joaquim Afonso De Souza, Vila Celeste, São Paulo Zona Norte, São Paulo",820,38.0,1.0
norte,"Rua Mario Araújo, Santana, São Paulo Zona Norte, São Paulo",1.300,40.0,1.0
norte,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",3.000,157.0,3.0
norte,"Rua Euríco Sodré, Vila Medeiros, São Paulo Zona Norte, São Paulo",1.725,90.0,4.0
norte,"Rua Antônio Said, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.000,43.0,1.0
norte,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.050,49.0,2.0
norte,"Rua Paulo Do Vale Júnior, Vila Bancária Munhoz, São Paulo Zona Norte, São Paulo",880,45.0,1.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.600,75.0,3.0
norte,"Rua Pedro Doll, Santana, São Paulo Zona Norte, São Paulo",1.700,80.0,1.0
norte,"Avenida Nova Cantareira, Tucuruvi, São Paulo Zona Norte, São Paulo",1.750,95.0,3.0
norte,"Rua Carolina Soares, Vila Diva (zona Norte), São Paulo Zona Norte, São Paulo",1.850,37.0,1.0
norte,"Rua Tapiraí, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",2.700,72.0,3.0
norte,"Avenida José Maria Fernandes, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.250,64.0,2.0
norte,"Rua José Ferreira De Castro, Vila Amélia, São Paulo Zona Norte, São Paulo",1.100,57.0,2.0
norte,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",2.100,62.0,2.0
norte,"Rua Doutor Luís Barreto Filho, Vila Pereira Barreto, São Paulo Zona Norte, São Paulo",1.800,52.0,2.0
norte,"R. Maj. Ari Gomes - Vila Mazzei, São Paulo - Sp, 02309-050, Brasil, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.600,55.0,2.0
norte,"Avenida Deputado Emílio Carlos, Limão, São Paulo Zona Norte, São Paulo",1.700,72.0,3.0
norte,"Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1.600,70.0,2.0
norte,"Avenida Monte Celeste, Vila Santa Maria, São Paulo Zona Norte, São Paulo",4.000,200.0,3.0
norte,"Avenida Parada Pinto, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",2.000,130.0,3.0
norte,"Rua Dona Estela Borges Morato, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.400,48.0,2.0
norte,"Rua Luís Vasconcelos, Sítio Do Morro, São Paulo Zona Norte, São Paulo",1.400,140.0,1.0
norte,"Rua Madrigais, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.012,40.0,1.0
norte,"Rua Pestana, Vila Guaca, São Paulo Zona Norte, São Paulo",1.500,68.0,2.0
norte,"Otavio De Moura, Jardim Peri, São Paulo Zona Norte, São Paulo",840,70.0,1.0
norte,"Rua Vicente Ferreira Leite, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",1.200,50.0,2.0
norte,"Rua Manoel Ferreira Barbosa, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.100,60.0,1.0
norte,"Rua Santo Ubaldo, Vila Palmeiras, São Paulo Zona Norte, São Paulo",2.200,52.0,2.0
norte,"Rua Sargento Agostinho Ferreira, Vila Maria Alta, São Paulo Zona Norte, São Paulo",3.000,160.0,3.0
norte,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1.600,59.0,2.0
norte,"Avenida Elísio Teixeira Leite, Vila Brasilândia, São Paulo Zona Norte, São Paulo",1.575,64.0,2.0
norte,"Rua Alto De Montalegre, Lauzane Paulista, São Paulo Zona Norte, São Paulo",2.500,130.0,3.0
norte,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",1.720,48.0,2.0
norte,"Rua Rubens De Souza Araújo, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.236,55.0,2.0
norte,"Rua Benjamin Pereira, Jaçanã, São Paulo Zona Norte, São Paulo",1.450,59.0,2.0
norte,"Avenida Professora Virgília Rodrigues Alves De Carvalho Pinto, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",2.000,47.0,2.0
norte,"Rua José Pardelli, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.300,75.0,2.0
norte,"Rua Dona Joaquina De Jesus, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",1.050,80.0,1.0
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900,35.0,1.0
norte,"Rua Epaminondas Melo Do Amaral, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",1.300,71.0,3.0
norte,"Rua Ribeiro De Morais, Vila Albertina, São Paulo Zona Norte, São Paulo",1.200,70.0,2.0
norte,"Rua Itza, Jardim Modelo, São Paulo Zona Norte, São Paulo",1.552,53.0,2.0
norte,"Rua Nova Dos Portugueses, Chora Menino, São Paulo Zona Norte, São Paulo",2.100,66.0,2.0
norte,"Rua Paraíba, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",5.000,177.0,3.0
norte,"Avenida Elísio Teixeira Leite, Vila Brasilândia, São Paulo Zona Norte, São Paulo",1.155,50.0,2.0
norte,"Rua Claudino Pinto, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.260,48.0,2.0
norte,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1.640,70.0,2.0
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900,35.0,1.0
norte,"Rua Conselheiro Moreira De Barros, Santana, São Paulo Zona Norte, São Paulo",2.000,49.0,2.0
norte,"Rua Borges, Parada Inglesa, São Paulo Zona Norte, São Paulo",2.000,55.0,2.0
norte,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.400,50.0,2.0
norte,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.990,32.0,1.0
norte,"Rua Alvorada Do Norte, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.200,48.0,1.0
norte,"Rua Sebastião Alves De Sousa, Vila Miriam, São Paulo Zona Norte, São Paulo",1.300,35.0,1.0
norte,"Rua Manoel Lopes Da Cunha, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.339,50.0,2.0
norte,"Avenida General Ataliba Leonel, Santana, São Paulo Zona Norte, São Paulo",1.640,70.0,2.0
norte,"Rua Doutor Orlando Zamitti Mammana, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.530,80.0,3.0
norte,"Rua Coronel Jordão, Vila Paiva, São Paulo Zona Norte, São Paulo",1.900,35.0,1.0
norte,"Avenida Professora Ida Kolb, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2.300,98.0,4.0
